Statutes at Large,,,,,,,,
Congress,Session,Chapter,Title,Author,Subject,Keywords,,
62nd (1912),,,,,,,,
,Session 1,,,,,,,
1,,Chapter 1,"An Act To authorize the extension and widening of Colorado Avenue northwest from Longfellow Street to Sixteenth Street, and of Kennedy Street northwest through lot numbered eight hundred, square numbered twenty-seven hundred and eighteen.",U.S. Congress,"Congress 62, Session 1, Chapter 1; 1911-06-30","Law; Law Library; Congress; United States; Bills and legislation; Statutes at Large; Property; Washington, D.C.; Colorado Avenue; Kennedy Street; Eminent Domain; Boundaries; Roads and Highways; Urban Planning",,
1,,Chapter 2,"An Act To supply a deficiency in the appropriations for contingent expenses of the House of Representatives for the fiscal year nineteen hundred and eleven, and for other purposes. ",U.S. Congress,"Congress 62, Session 1, Chapter 2; 1911-07-21","Law; Law Library; Congress; United States; Bills and legislation; Statutes at Large; Appropriations; Executive Agencies; Legislative Bodies; Senate; Officials and Employees; Salary and Compensation; House of Representatives; Goods and Services; Government; Property; Jurisdiction and Venue; Public Buildings; Building Construction; Roads and Highways; Infectious and Parasitic Diseases; Army; Religious Buildings; Washington, D.C. ",,
,,Chapter 3,"An Act To promote reciprocal trade relations with the Dominion of Canada, and for other purposes.",U.S. Congress,"Congress 62, Session 1, Chapter 3; 1911-07-26",Law; Law Library; Congress; United States; Bills and legislation; Statutes at Large; Canada; North America; Customs Enforcement; Import and Export; Tariffs; Foreign Trade and International Finance; Goods and Services; Tax Exemption; Trade Agreements and Negotiations; Trade Restrictions,,
12,,Chapter 4,"An Act To amend paragraph five hundred of the Act approved August fifth, nineteen hundred and nine, entitled ""An Act to provide revenue, equalize duties, and encourage the industries of the United States, and for other purposes.""",U.S. Congress,"Congress 62, Session 1, Chapter 4; 1911-07-27",Law; Law Library; Congress; United States; Bills and legislation; Statutes at Large; Payne--Aldrich Tariff Act of 1909; Tariff of 1909; Import and Export; Goods and Services; Foreign Exchange; Internal-Revenue Tax,,
13,,Chapter 5,An Act For the apportionment of Representatives in Congress among the several States under the  Thirteenth Census.,U.S. Congress,"Congress 62, Session 1, Chapter 5; 1911-08-08",Law; Law Library; Congress; United States; Bills and legislation; Statutes at Large; Census; Legislative Elections; Legislative Bodies; Legislative Rules and Procedure; Voting Rights; House of Representatives; Districts; States; State and Local Government,,
14,,Chapter 6,"An Act Permitting the Minneapolis, Saint Paul and Sault Sainte Marie Railway Company to construct, maintain, and operate a railroad bridge across the Saint Croix River between the States of Wisconsin and Minnesota.",U.S. Congress,"Congress 62, Session 1, Chapter 6; 1911-08-10","Law; Law Library; Congress; United States; Bills and legislation; Statutes at Large; Minneapolis, Saint Paul and Sault Sainte Marie Railway Company; Railroads; Burnett County--Wisconsin; Pine County--Minneapolis; Bridges and Tunnels; Saint Croix River; Rivers and Waterways; Navigation; Property ",,
15,,Chapter 7,"An Act To authorize the Providence, Warren and Bristol Railroad Company and its lessee, the New York, New Haven and Harford Railroad Company, or either of them, to construct a bridge across the Palmers of Warren River, in the State of Rhode Island.",U.S. Congress,"Congress 62, Session 1, Chapter 7; 1911-08-10","Law; Law Library; Congress; United States; Bills and legislation; Statutes at Large; Providence, Warren and Bristol Railroad Company; New York, New Have and Hartford Railroad Company; Railroads; Bridges and Tunnels; Palmers River; Warren River; Rivers and Waterways; Navigation; Bristol County--Rhode Island; Infrastructure Development",,
15,,Chapter 8,"An Act To authorize the Saint Louis-Kansas City Electric Railway Company to construct a bridge across the Missouri River at or near the town of Weldon Springs Landing, Missouri.",U.S. Congress,"Congress 62, Session 1, Chapter 8; 1911-08-10",Law; Law Library; Congress; United States; Bills and legislation; Statutes at Large; Saint Louis-Kansas City Electric Railway Company; Railroads; Weldon Springs Landing--Missouri; Bridges and Tunnels; Missouri River; Rivers and Waterways; Navigation; Infrastructure Development,,
15,,Chapter 9,"An Act To authorize the town of Logan, Aitkin County, Minnesota, to construct a bridge across the Mississippi River in Aitkin County, Minnesota.",U.S. Congress,"Congress 62, Session 1, Chapter 9; 1911-08-14",Law; Law Library; Congress; United States; Bills and legislation; Statutes at Large; Logan--Minnesota; Bridges and Tunnels; Mississippi River; Rivers and Waterways; Navigation; Boundaries; Palisade-Minnesota; Aitkin County--Minnesota; Infrastructure Development,,
16,,Chapter 10,"An Act To authorize the bridge directors of the Jefferson County bridge district to construct a bridge across the Arkansas River at Pine Bluff, Arkansas.",U.S. Congress,"Congress 62, Session 1, Chapter 10; 1911-08-14",Law; Law Library; Congress; United States; Bills and legislation; Statutes at Large; Jefferson County--Arkansas; Bridges and Tunnels; Arkansas River; Rivers and Waterways; Navigation; Pine Bluff--Arkansas; Infrastructure Development,,
